,age,job,education,default,balance,personal-loan,current-campaign,subscribed
1090,31,blue-collar,primary,no,-502,no,4,no
1091,50,blue-collar,primary,no,0,no,5,no
1092,47,technician,secondary,no,599,no,3,no
1093,30,management,tertiary,no,-218,no,15,no
1094,32,technician,tertiary,no,1012,no,1,no
1095,36,technician,secondary,no,300,no,1,no
1096,46,technician,tertiary,no,217,no,1,no
1097,45,management,tertiary,no,2096,no,1,no
1098,37,technician,secondary,no,0,no,2,no
1099,58,housemaid,primary,no,5278,no,4,no
1100,59,management,tertiary,no,1831,no,1,no
1101,28,management,tertiary,no,1480,no,1,no
1102,48,management,tertiary,no,7289,no,3,no
1103,55,blue-collar,secondary,no,1665,no,2,no
1104,37,blue-collar,primary,no,851,no,1,no
1105,41,management,tertiary,no,2885,no,1,no
1106,35,blue-collar,secondary,no,137,yes,1,no
1107,34,blue-collar,secondary,no,1239,no,1,no
1108,43,management,tertiary,no,146,no,1,no
1109,59,technician,secondary,no,1,no,2,yes
1110,50,blue-collar,primary,no,-10,yes,6,no
1111,37,technician,secondary,no,480,no,2,yes
1112,35,technician,secondary,no,2789,no,2,no
1113,50,technician,secondary,no,3897,no,1,no
1114,36,technician,secondary,no,487,yes,3,no
1115,41,admin.,secondary,no,5110,no,1,no
1116,28,management,tertiary,no,318,no,4,no
1117,42,technician,tertiary,no,-411,no,5,no
1118,60,retired,secondary,no,4820,no,1,no
1119,28,management,tertiary,no,4937,no,3,no
1120,48,entrepreneur,secondary,no,725,yes,1,no
1121,51,entrepreneur,tertiary,no,5403,no,1,no
1122,32,technician,tertiary,no,4089,no,7,no
1123,35,technician,tertiary,no,188,no,2,no
1124,37,technician,secondary,no,189,no,1,yes
1125,38,blue-collar,secondary,no,2998,no,1,no
1126,77,retired,secondary,no,610,no,3,no
1127,32,management,tertiary,no,787,no,1,no
1128,43,technician,secondary,no,167,no,3,no
1129,36,management,tertiary,no,243,no,2,no
1130,29,management,tertiary,no,877,no,3,no
1131,32,admin.,secondary,no,2817,no,1,no
1132,41,management,tertiary,no,4567,yes,1,no
1133,26,services,secondary,no,127,yes,3,no
1134,34,blue-collar,primary,no,176,no,1,no
1135,57,retired,tertiary,no,0,yes,1,yes
1136,36,services,secondary,no,1482,no,2,no
1137,42,blue-collar,secondary,no,3052,no,1,no
1138,35,technician,secondary,no,56,no,12,no
1139,52,entrepreneur,primary,no,278,no,2,no
1140,36,management,tertiary,no,3875,no,5,no
1141,46,technician,secondary,no,-337,no,1,no
1142,60,management,tertiary,no,366,no,1,yes
1143,57,housemaid,primary,no,501,yes,2,no
1144,48,management,tertiary,no,998,no,3,no
1145,59,self-employed,primary,no,0,no,2,no
1146,39,management,tertiary,no,246,no,2,no
1147,44,blue-collar,secondary,no,-182,yes,10,no
1148,27,management,tertiary,no,446,no,3,no
1149,59,retired,secondary,no,1173,no,2,no
1150,36,technician,secondary,no,5957,no,2,no
1151,44,admin.,secondary,no,205,no,1,yes
1152,50,admin.,secondary,no,0,no,4,no
1153,41,management,tertiary,no,369,no,3,no
1154,47,admin.,secondary,no,1934,yes,1,no
1155,32,technician,tertiary,no,259,no,4,no
1156,38,blue-collar,secondary,no,284,yes,6,no
1157,55,blue-collar,secondary,no,23,no,2,no
1158,38,management,tertiary,no,1373,no,4,no
1159,31,management,tertiary,no,62,no,1,no
1160,38,blue-collar,secondary,no,157,no,5,no
1161,29,unemployed,tertiary,no,991,no,1,no
1162,55,services,secondary,no,186,yes,1,no
1163,35,unemployed,secondary,no,977,no,4,no
1164,40,self-employed,tertiary,no,2893,no,3,no
1165,34,blue-collar,secondary,no,1897,yes,1,no
1166,32,technician,tertiary,no,5514,no,1,yes
1167,33,blue-collar,secondary,no,889,no,1,no
1168,33,management,tertiary,no,273,no,1,yes
1169,37,admin.,secondary,no,1193,no,2,no
1170,58,management,tertiary,no,2729,no,1,no
1171,36,admin.,secondary,no,0,no,1,no
1172,42,blue-collar,secondary,no,230,no,7,no
1173,34,technician,secondary,no,2729,no,1,no
1174,35,management,tertiary,no,317,no,3,no
1175,60,housemaid,primary,no,517,no,3,no
1176,50,management,tertiary,no,-470,no,2,no
1177,28,self-employed,tertiary,no,4579,no,2,yes
1178,27,blue-collar,secondary,no,1,no,3,no
1179,37,management,tertiary,no,5106,no,1,yes
1180,31,technician,tertiary,no,636,no,4,yes
1181,34,services,secondary,no,1076,no,1,yes
1182,38,management,tertiary,no,126,no,2,no
1183,32,self-employed,secondary,no,-33,no,3,no
1184,37,technician,secondary,no,430,no,4,no
1185,33,admin.,secondary,no,-6,no,2,no
1186,71,technician,tertiary,no,383,no,2,no
1187,27,technician,secondary,no,130,no,3,no
1188,38,blue-collar,primary,no,2569,no,1,no
1189,34,technician,secondary,no,201,no,2,no
1190,54,retired,tertiary,no,0,no,1,yes
1191,30,blue-collar,secondary,no,6,no,3,no
1192,35,entrepreneur,secondary,no,475,yes,4,no
1193,33,blue-collar,secondary,no,706,no,1,no
1194,36,management,secondary,no,1825,no,1,no
1195,59,self-employed,tertiary,no,185,no,5,no
1196,72,blue-collar,primary,no,4415,no,1,no
1197,64,management,tertiary,no,679,no,3,no
1198,53,technician,secondary,no,320,no,1,no
1199,35,management,tertiary,no,2988,no,1,no
1200,58,self-employed,secondary,no,1407,no,1,no
1201,40,technician,secondary,no,1270,no,2,no
1202,41,services,secondary,no,654,no,2,no
1203,48,retired,primary,no,5173,no,8,no
1204,44,entrepreneur,tertiary,no,3463,yes,3,no
1205,39,blue-collar,secondary,no,0,no,1,no
1206,61,management,tertiary,no,6016,no,3,yes
1207,36,entrepreneur,primary,no,177,no,5,no
1208,28,management,tertiary,no,3694,yes,2,no
1209,58,retired,secondary,no,1640,yes,6,no
1210,60,admin.,secondary,no,174,no,1,no
1211,66,admin.,secondary,no,10177,no,4,no
1212,36,management,tertiary,no,490,no,8,yes
1213,49,self-employed,secondary,no,2576,no,6,no
1214,40,services,secondary,no,0,no,2,no
1215,23,technician,secondary,no,598,no,1,no
1216,29,management,tertiary,no,15459,no,3,no
1217,44,blue-collar,primary,no,271,yes,1,no
1218,54,management,tertiary,no,2508,no,8,no
1219,47,blue-collar,primary,no,320,no,2,no
1220,33,admin.,tertiary,no,640,no,1,no
1221,30,self-employed,secondary,no,1772,no,4,no
1222,27,admin.,secondary,no,15,yes,1,no
1223,49,management,tertiary,no,2370,yes,1,no
1224,27,services,secondary,no,201,no,2,no
1225,51,blue-collar,secondary,no,160,no,1,no
1226,32,admin.,secondary,yes,5,yes,3,no
1227,30,blue-collar,secondary,no,75,no,1,no
1228,33,admin.,secondary,no,4902,no,1,no
1229,27,blue-collar,primary,no,-79,no,5,no
1230,75,retired,secondary,no,1341,no,7,yes
1231,37,services,secondary,no,490,no,1,no
1232,36,technician,secondary,no,1521,no,2,no
1233,37,blue-collar,secondary,no,131,no,2,no
1234,35,management,tertiary,no,8,no,4,no
1235,32,services,secondary,no,-632,yes,5,no
1236,32,admin.,secondary,no,116,yes,2,no
1237,35,admin.,primary,no,189,no,1,no
1238,31,blue-collar,primary,no,2,yes,1,no
1239,28,blue-collar,secondary,no,4229,yes,2,no
1240,27,services,secondary,no,54,no,1,no
1241,22,student,secondary,no,549,no,1,no
1242,35,blue-collar,primary,no,298,no,2,no
1243,69,retired,primary,no,579,no,1,no
1244,37,entrepreneur,tertiary,no,1467,yes,1,no
1245,45,admin.,secondary,no,0,no,1,no
1246,47,management,tertiary,no,109,no,1,no
1247,52,management,tertiary,no,-11,no,4,no
1248,33,services,secondary,no,90,no,2,no
1249,60,blue-collar,primary,no,493,no,4,yes
1250,33,management,secondary,no,1897,yes,1,no
1251,44,admin.,secondary,no,2403,no,2,no
1252,38,entrepreneur,secondary,no,868,no,2,no
1253,54,entrepreneur,secondary,no,653,no,1,no
1254,32,unemployed,primary,no,0,no,4,no
1255,33,technician,secondary,no,0,yes,2,no
1256,55,services,secondary,no,218,no,2,no
1257,51,blue-collar,primary,no,5050,yes,7,no
1258,48,blue-collar,secondary,no,741,no,1,no
1259,37,services,secondary,no,1050,no,3,no
1260,33,services,secondary,no,-56,yes,5,no
1261,30,blue-collar,primary,no,1,yes,2,no
1262,43,blue-collar,primary,no,-98,yes,2,no
1263,49,technician,secondary,no,4667,no,2,no
1264,54,unemployed,primary,no,541,no,3,no
1265,31,unemployed,tertiary,no,7744,no,8,no
1266,54,management,tertiary,no,895,no,1,yes
1267,36,unemployed,secondary,no,-129,no,3,no
1268,30,admin.,secondary,no,0,no,5,no
1269,27,technician,secondary,no,158,no,2,yes
1270,30,admin.,secondary,no,122,no,1,no
1271,30,blue-collar,secondary,no,673,no,2,no
1272,35,technician,secondary,no,0,no,4,no
1273,33,services,secondary,no,411,no,1,no
1274,43,blue-collar,primary,no,-97,yes,4,no
1275,41,blue-collar,secondary,no,-217,no,1,no
1276,41,management,tertiary,no,5037,no,9,yes
1277,46,admin.,secondary,no,2232,no,1,yes
1278,54,blue-collar,secondary,no,-932,no,1,no
1279,32,management,tertiary,no,913,no,1,no
1280,30,technician,tertiary,no,236,no,1,no
1281,40,entrepreneur,primary,no,0,no,2,no
1282,30,blue-collar,primary,no,2581,no,2,no
1283,27,admin.,secondary,no,639,yes,3,no
1284,41,blue-collar,primary,no,849,no,1,no
1285,54,services,secondary,no,386,no,2,no
1286,32,management,tertiary,no,1218,no,2,no
1287,31,management,tertiary,no,2603,no,4,yes
1288,42,blue-collar,secondary,no,-921,no,2,no
1289,48,admin.,primary,no,607,no,2,no
1290,34,blue-collar,primary,no,79,no,2,no
1291,55,technician,secondary,no,61,yes,3,no
1292,49,technician,secondary,no,1091,no,2,no
1293,46,management,tertiary,no,743,no,2,no
1294,47,entrepreneur,secondary,no,209,no,2,no
1295,24,management,tertiary,no,172,no,2,no
1296,58,entrepreneur,secondary,no,2,no,1,no
1297,32,management,tertiary,no,41,no,5,yes
1298,25,student,secondary,no,1116,no,3,no
1299,49,blue-collar,secondary,no,-55,no,3,no
1300,59,retired,secondary,no,5845,no,2,yes
1301,30,management,tertiary,no,329,no,16,no
1302,46,blue-collar,secondary,no,494,no,1,no
1303,42,management,tertiary,no,1519,no,1,yes
1304,37,entrepreneur,tertiary,no,2685,no,2,no
1305,44,blue-collar,primary,no,-14,yes,4,no
1306,49,services,secondary,no,5673,yes,3,no
1307,41,blue-collar,secondary,no,1459,no,1,no
1308,48,technician,tertiary,no,0,no,15,no
1309,31,management,secondary,no,625,no,1,no
1310,37,student,secondary,no,0,no,1,no
1311,51,services,secondary,no,867,no,2,no
1312,80,retired,secondary,no,8304,no,1,yes
1313,32,management,tertiary,no,151,no,1,no
1314,48,services,primary,yes,-583,no,7,no
1315,49,blue-collar,tertiary,no,1784,no,1,no
1316,30,management,tertiary,no,3134,no,1,no
1317,27,self-employed,secondary,no,49,no,2,no
1318,34,technician,secondary,no,-346,no,4,no
1319,49,management,secondary,no,1623,no,2,yes
1320,48,management,tertiary,no,60,no,2,no
1321,40,services,secondary,no,17,no,1,no
1322,38,blue-collar,secondary,no,2008,no,1,no
1323,46,blue-collar,primary,no,91,no,1,no
1324,41,entrepreneur,tertiary,no,171,no,1,no
1325,28,management,tertiary,no,1027,no,1,no
1326,51,services,secondary,no,5801,no,2,no
1327,33,blue-collar,primary,no,142,no,2,no
1328,26,management,tertiary,no,205,no,1,no
1329,34,admin.,secondary,no,852,no,2,no
1330,27,blue-collar,secondary,yes,-584,no,2,no
1331,42,self-employed,secondary,no,97,no,2,no
1332,45,admin.,secondary,no,204,no,2,yes
1333,31,technician,secondary,no,628,no,2,no
1334,32,management,tertiary,no,311,no,2,yes
1335,39,blue-collar,primary,no,1564,no,1,no
1336,26,blue-collar,secondary,no,856,yes,5,no
1337,40,management,tertiary,no,1509,no,2,no
1338,52,services,secondary,no,-888,no,1,no
1339,40,technician,tertiary,no,226,no,2,no
1340,48,technician,secondary,no,127,yes,5,no
1341,31,services,secondary,no,413,no,1,no
1342,27,admin.,secondary,no,710,yes,1,yes
1343,47,technician,secondary,no,1233,no,1,yes
1344,28,management,secondary,no,171,no,1,yes
1345,40,management,tertiary,no,69,no,2,no
1346,34,admin.,secondary,no,1499,no,1,no
1347,29,self-employed,tertiary,no,751,no,2,no
1348,36,management,tertiary,no,61,yes,2,no
1349,83,retired,primary,no,425,no,1,yes
1350,55,services,primary,no,2923,no,2,no
1351,43,management,tertiary,no,99,no,3,no
1352,23,student,secondary,no,1021,no,9,no
1353,44,technician,tertiary,no,1146,no,2,no
1354,58,blue-collar,primary,no,781,no,2,no
1355,29,admin.,secondary,no,1448,no,1,no
1356,30,management,tertiary,no,604,yes,1,no
1357,29,admin.,secondary,no,-194,no,1,no
1358,41,technician,secondary,no,0,no,1,no
1359,35,housemaid,primary,no,0,no,3,no
1360,31,technician,secondary,no,1014,no,4,no
1361,27,admin.,tertiary,no,73,no,1,no
1362,47,services,secondary,no,2597,no,1,no
1363,53,self-employed,tertiary,no,2627,yes,30,no
1364,34,management,tertiary,no,1906,no,3,no
1365,34,blue-collar,primary,no,-319,yes,4,no
1366,36,management,tertiary,no,-296,no,3,no
1367,40,technician,secondary,no,169,no,4,no
1368,37,self-employed,tertiary,no,556,no,2,no
1369,65,retired,secondary,no,300,no,2,no
1370,53,technician,secondary,no,751,no,4,no
1371,28,technician,secondary,no,126,no,1,no
1372,33,technician,tertiary,no,-386,no,1,no
1373,56,blue-collar,primary,no,379,no,5,no
1374,45,self-employed,secondary,no,706,no,2,no
1375,39,technician,secondary,no,9121,no,1,no
1376,28,management,tertiary,no,1466,no,1,no
1377,36,blue-collar,primary,no,0,no,2,no
1378,41,blue-collar,primary,no,951,no,4,no
1379,46,admin.,secondary,no,368,no,1,yes
1380,41,blue-collar,secondary,no,121,no,6,no
1381,59,services,secondary,no,204,no,2,no
1382,24,admin.,secondary,no,299,no,1,no
1383,34,management,tertiary,no,4170,no,1,no
1384,40,blue-collar,primary,no,-335,no,1,no
1385,42,admin.,secondary,no,3165,no,4,no
1386,50,services,secondary,no,254,no,2,no
1387,25,management,tertiary,no,553,no,4,no
1388,51,services,secondary,no,518,no,1,no
1389,50,management,tertiary,no,85,yes,1,no
1390,37,blue-collar,secondary,no,603,no,2,no
1391,21,services,secondary,no,361,no,1,no
1392,52,blue-collar,secondary,no,-98,no,1,no
1393,55,retired,primary,no,4424,no,4,no
1394,26,technician,secondary,no,2610,yes,1,no
1395,38,technician,tertiary,no,3234,no,2,yes
1396,32,blue-collar,secondary,no,687,no,1,no
1397,31,blue-collar,secondary,no,631,no,4,no
1398,34,technician,secondary,no,341,yes,1,no
1399,33,technician,tertiary,no,316,no,3,no
1400,35,technician,secondary,no,2,no,3,no
1401,44,management,tertiary,no,415,no,7,no
1402,48,management,tertiary,no,507,no,1,no
1403,29,blue-collar,secondary,no,912,no,1,no
1404,50,management,tertiary,no,0,no,5,no
1405,37,blue-collar,primary,no,37,no,2,no
1406,44,admin.,secondary,no,2524,no,1,no
1407,36,unemployed,tertiary,no,9019,no,3,no
1408,49,blue-collar,secondary,no,39,no,5,no
1409,31,blue-collar,secondary,no,0,no,1,no
1410,49,technician,secondary,no,265,no,6,no
1411,35,blue-collar,secondary,no,0,no,1,yes
1412,57,admin.,secondary,no,4012,no,1,no
1413,42,blue-collar,primary,no,1520,no,1,no
1414,36,blue-collar,secondary,no,-140,no,2,no
1415,75,retired,primary,no,852,no,1,no
1416,38,blue-collar,secondary,no,578,no,2,no
1417,40,blue-collar,primary,yes,0,no,2,no
1418,38,services,secondary,no,2253,no,3,yes
1419,34,management,tertiary,no,1171,no,1,no
1420,29,technician,tertiary,no,452,no,1,no
1421,28,admin.,secondary,no,-97,no,1,no
1422,79,retired,secondary,no,4738,no,5,no
1423,51,admin.,secondary,no,467,no,1,no
1424,32,student,tertiary,no,0,no,5,no
1425,36,management,tertiary,no,495,no,3,yes
1426,38,entrepreneur,secondary,no,157,yes,11,no
1427,49,self-employed,secondary,no,358,yes,3,no
1428,42,services,secondary,no,292,no,3,no
1429,43,blue-collar,primary,no,7343,no,4,no
1430,34,blue-collar,secondary,no,-563,no,1,no
1431,59,retired,secondary,no,351,no,5,yes
1432,35,management,primary,no,365,no,2,no
1433,33,blue-collar,secondary,no,13494,no,25,no
1434,34,admin.,secondary,no,846,no,2,no
1435,64,retired,secondary,no,1574,no,3,yes
1436,34,entrepreneur,tertiary,no,-28,no,1,no
1437,77,retired,tertiary,no,0,no,1,yes
1438,57,retired,primary,no,2927,yes,5,no
1439,30,blue-collar,secondary,no,501,yes,1,no
1440,56,housemaid,primary,yes,1238,no,1,yes
1441,49,management,tertiary,no,301,no,2,no
1442,73,retired,primary,no,1388,no,3,no
1443,39,technician,secondary,no,102,no,2,no
1444,57,technician,primary,no,13,no,2,no
1445,32,self-employed,secondary,no,413,no,2,no
1446,32,technician,tertiary,no,4665,no,2,yes
1447,45,admin.,secondary,no,638,no,9,no
1448,32,blue-collar,secondary,no,101,no,4,no
1449,31,management,tertiary,no,1224,yes,2,yes
1450,49,self-employed,secondary,no,1103,no,2,no
1451,29,services,secondary,no,3748,no,3,no
1452,55,technician,secondary,no,955,no,1,no
1453,30,admin.,secondary,no,518,no,1,no
1454,45,services,primary,no,1893,no,6,yes
1455,39,technician,tertiary,no,14,no,2,no
1456,36,admin.,secondary,no,-423,yes,1,no
1457,33,management,tertiary,no,3696,no,1,no
1458,36,management,tertiary,no,2987,no,1,yes
1459,31,technician,secondary,no,433,no,2,no
1460,36,technician,secondary,no,756,no,3,no
1461,38,technician,tertiary,no,0,no,1,no
1462,33,management,secondary,no,2727,no,3,no
1463,40,technician,secondary,no,93,no,2,no
1464,31,blue-collar,secondary,no,1766,yes,2,yes
1465,39,services,secondary,no,124,no,5,no
1466,33,admin.,tertiary,no,69,yes,2,no
1467,53,services,secondary,no,0,no,2,yes
1468,38,management,tertiary,no,0,no,5,no
1469,59,technician,secondary,no,259,no,1,yes
1470,55,blue-collar,primary,no,4103,no,1,no
1471,38,technician,tertiary,no,744,no,1,no
1472,48,services,secondary,no,116,no,4,no
1473,53,blue-collar,secondary,no,70,no,2,no
1474,44,admin.,secondary,no,432,no,3,no
1475,57,management,tertiary,no,1172,no,1,no
1476,29,blue-collar,secondary,no,9,no,3,no
1477,31,services,secondary,no,428,no,1,no
1478,35,technician,tertiary,no,7546,no,1,no
1479,31,blue-collar,primary,no,620,no,1,no
1480,35,self-employed,tertiary,no,8647,no,2,no
1481,40,management,secondary,no,192,no,11,no
1482,39,blue-collar,secondary,no,0,no,1,no
1483,43,technician,tertiary,no,27733,no,7,no
1484,44,entrepreneur,primary,no,276,yes,1,no
1485,29,technician,secondary,no,113,no,2,yes
1486,40,technician,secondary,no,782,no,2,no
1487,33,entrepreneur,primary,no,82,no,2,no
1488,46,management,tertiary,no,1008,no,13,no
1489,27,management,tertiary,no,6421,no,4,no
1490,26,admin.,secondary,no,443,no,3,no
1491,41,technician,secondary,no,351,no,1,no
1492,34,technician,tertiary,no,5060,no,21,no
1493,39,technician,tertiary,no,-41,yes,15,no
1494,27,services,secondary,no,-124,no,1,no
1495,31,blue-collar,secondary,no,79,yes,11,no
1496,44,unemployed,secondary,no,3945,no,1,no
1497,55,retired,tertiary,no,197,yes,1,no
1498,51,blue-collar,primary,no,837,no,2,no
1499,50,management,tertiary,no,-94,yes,1,no
1500,30,services,secondary,no,1743,no,4,no
1501,46,technician,secondary,no,57,no,1,yes
1502,49,admin.,secondary,no,635,no,3,no
1503,56,retired,secondary,no,-113,yes,2,no
1504,47,admin.,secondary,no,225,no,4,yes
1505,30,admin.,secondary,no,124,no,2,no
1506,36,entrepreneur,secondary,no,475,no,3,no
1507,40,management,tertiary,no,-7,yes,1,no
1508,37,technician,secondary,yes,375,no,2,no
1509,42,admin.,secondary,no,936,no,1,yes
1510,45,technician,secondary,no,1415,no,1,no
1511,34,unemployed,secondary,no,0,no,2,no
1512,27,admin.,secondary,no,3638,no,5,no
1513,30,blue-collar,secondary,no,-99,no,5,no
1514,32,technician,secondary,no,167,yes,3,no
1515,46,housemaid,primary,no,19,no,1,no
1516,29,self-employed,tertiary,no,242,no,4,no
1517,53,management,tertiary,no,13,no,1,no
1518,32,technician,secondary,no,286,no,1,no
1519,49,unemployed,secondary,no,769,no,1,no
1520,35,management,tertiary,no,93,no,2,no
1521,38,blue-collar,secondary,no,1663,no,3,no
1522,39,entrepreneur,primary,no,238,yes,1,no
1523,34,technician,secondary,no,2178,no,1,no
1524,42,blue-collar,primary,no,792,yes,2,no
1525,35,blue-collar,secondary,no,871,no,3,no
1526,60,admin.,secondary,no,1025,no,8,no
1527,57,technician,secondary,no,63,no,1,no
1528,31,blue-collar,secondary,no,16,no,1,no
1529,29,management,secondary,no,417,no,1,no
1530,41,services,secondary,no,3992,no,2,no
1531,46,blue-collar,primary,no,2749,no,1,no
1532,33,technician,secondary,no,133,no,1,yes
1533,32,blue-collar,secondary,no,1721,no,2,no
1534,54,management,tertiary,no,2171,yes,1,yes
1535,37,services,secondary,no,4760,no,2,no
1536,32,technician,secondary,no,2979,no,1,no
1537,43,management,tertiary,no,690,no,3,no
1538,50,blue-collar,secondary,no,203,no,1,no
1539,34,blue-collar,secondary,no,322,no,3,no
1540,31,admin.,secondary,no,1210,no,1,no
1541,43,self-employed,secondary,no,634,no,1,no
1542,49,entrepreneur,secondary,no,273,no,1,no
1543,22,student,secondary,no,47,no,3,no
1544,35,management,tertiary,no,1100,yes,2,no
1545,56,admin.,secondary,no,0,no,2,no
1546,53,blue-collar,secondary,no,0,no,4,no
1547,54,entrepreneur,tertiary,no,1544,yes,7,no
1548,32,services,secondary,no,6145,no,1,no
1549,41,self-employed,secondary,no,28,no,1,no
1550,40,blue-collar,secondary,no,1012,no,1,no
1551,33,blue-collar,primary,no,245,yes,3,no
1552,33,management,tertiary,no,1998,no,1,no
1553,34,blue-collar,secondary,no,3990,no,7,no
1554,36,services,secondary,no,1328,no,4,no
1555,34,entrepreneur,tertiary,no,412,yes,1,no
1556,55,management,primary,no,229,yes,3,no
1557,28,student,tertiary,no,1562,no,4,yes
1558,29,admin.,secondary,no,3432,no,2,no
1559,31,admin.,secondary,no,144,no,11,no
1560,52,management,tertiary,no,1339,no,5,no
1561,54,services,secondary,no,386,yes,1,no
1562,43,blue-collar,primary,no,7727,no,8,no
1563,55,entrepreneur,secondary,no,204,no,13,no
1564,28,blue-collar,secondary,no,101,no,4,no
1565,45,unemployed,secondary,no,728,yes,1,no
1566,45,entrepreneur,primary,no,2418,no,1,no
1567,51,management,tertiary,no,2934,no,4,no
1568,42,technician,secondary,no,0,no,4,no
1569,43,management,tertiary,no,181,no,1,no
1570,34,management,tertiary,no,176,no,4,no
1571,36,blue-collar,primary,no,49,no,2,no
1572,37,blue-collar,secondary,no,2023,no,1,no
1573,50,blue-collar,secondary,no,372,no,1,no
1574,42,management,tertiary,no,7702,no,2,yes
1575,34,blue-collar,primary,no,464,no,1,no
1576,48,management,secondary,no,117,no,1,no
1577,47,admin.,secondary,no,104,yes,2,no
1578,40,management,tertiary,no,1041,no,1,no
1579,37,management,tertiary,no,539,no,2,no
1580,38,blue-collar,primary,no,0,no,2,no
1581,29,technician,tertiary,no,406,no,1,no
1582,46,blue-collar,primary,no,2558,no,1,no
1583,26,blue-collar,secondary,no,484,no,2,no
1584,30,services,tertiary,no,3516,no,4,no
1585,42,blue-collar,secondary,no,5639,no,2,no
1586,42,management,tertiary,no,100,no,2,no
1587,31,admin.,secondary,no,1306,no,5,no
1588,37,management,tertiary,no,815,no,1,no
1589,26,blue-collar,secondary,no,245,no,11,no
1590,54,blue-collar,secondary,no,191,no,2,no
1591,70,retired,secondary,no,2815,no,2,no
1592,29,self-employed,secondary,no,3672,yes,1,no
1593,50,services,secondary,no,1572,no,1,no
1594,60,unemployed,secondary,no,385,no,1,no
1595,32,technician,secondary,no,29,no,2,no
1596,32,technician,secondary,no,84,yes,3,no
1597,34,self-employed,tertiary,no,876,no,2,no
1598,48,services,primary,no,1499,no,7,no
1599,25,student,tertiary,no,0,no,1,no
1600,32,management,secondary,no,6217,yes,2,no
1601,32,blue-collar,primary,no,329,no,1,no
1602,47,admin.,secondary,no,162,no,4,no
1603,32,technician,secondary,no,14533,no,3,no
1604,49,management,tertiary,no,151,no,3,yes
1605,53,services,secondary,no,-2,yes,2,no
1606,41,blue-collar,secondary,no,4684,no,6,no
1607,47,management,tertiary,no,1149,yes,2,no
1608,35,blue-collar,primary,no,11,no,4,no
1609,33,management,secondary,no,8004,no,3,no
1610,49,blue-collar,primary,no,1019,no,5,no
1611,46,management,tertiary,no,1297,no,3,yes
1612,29,management,tertiary,no,415,yes,4,no
1613,58,self-employed,primary,no,671,no,3,no
1614,40,admin.,secondary,no,2378,no,1,no
1615,34,management,tertiary,no,417,no,1,no
1616,60,retired,primary,no,71,no,3,no
1617,43,management,tertiary,no,1188,no,2,no
1618,50,blue-collar,primary,no,8139,no,6,no
1619,33,blue-collar,secondary,no,249,no,4,no
1620,37,blue-collar,primary,no,689,no,2,no
1621,55,self-employed,secondary,no,203,no,5,no
1622,45,blue-collar,primary,yes,-183,yes,4,no
1623,47,blue-collar,primary,no,3451,yes,2,no
1624,58,technician,secondary,no,116,no,3,no
1625,36,services,secondary,no,1746,no,1,no
1626,55,technician,secondary,no,0,no,2,no
1627,31,blue-collar,secondary,no,897,no,2,no
1628,38,technician,secondary,no,821,yes,2,no
1629,42,blue-collar,secondary,no,130,no,1,no
1630,32,management,tertiary,no,1,no,4,no
1631,39,blue-collar,secondary,no,8,no,3,no
1632,41,technician,secondary,no,55,no,4,no
1633,59,blue-collar,primary,no,699,no,1,no
1634,42,unemployed,secondary,no,759,no,1,no
1635,33,blue-collar,secondary,no,687,no,2,no
1636,53,retired,secondary,no,4968,no,1,no
1637,43,blue-collar,primary,no,1211,no,3,no
1638,39,self-employed,tertiary,no,426,no,1,yes
1639,27,entrepreneur,secondary,no,376,yes,1,no
1640,39,management,tertiary,no,12,no,1,no
1641,27,blue-collar,secondary,no,23,no,2,no
1642,33,admin.,secondary,no,353,no,2,no
1643,29,services,secondary,no,330,no,2,no
1644,33,management,tertiary,no,0,no,2,no
1645,41,entrepreneur,secondary,no,353,no,2,no
1646,38,technician,tertiary,no,2273,no,1,no
1647,30,management,tertiary,no,0,no,1,no
1648,58,unemployed,tertiary,no,744,no,1,no
1649,37,services,secondary,no,608,no,3,no
1650,36,admin.,secondary,no,356,no,3,no
1651,45,blue-collar,primary,no,1291,no,17,no
1652,23,technician,secondary,no,-306,no,2,no
1653,53,blue-collar,primary,no,306,no,3,yes
1654,44,blue-collar,primary,no,-312,no,3,no
1655,32,technician,secondary,no,493,no,2,no
1656,32,management,tertiary,no,71,no,8,no
1657,38,admin.,tertiary,no,669,yes,2,no
1658,47,blue-collar,primary,no,556,no,2,no
1659,34,services,secondary,no,84,no,1,no
1660,52,services,secondary,no,108,no,12,no
1661,45,admin.,secondary,no,-11,no,1,no
1662,50,blue-collar,primary,no,1164,no,2,no
1663,52,blue-collar,primary,no,-191,no,1,yes
1664,37,blue-collar,secondary,no,132,no,2,no
1665,51,blue-collar,secondary,no,2237,no,1,no
1666,32,management,tertiary,no,4761,no,2,no
1667,33,blue-collar,secondary,no,-346,yes,3,no
1668,28,unemployed,secondary,no,655,no,2,no
1669,66,management,tertiary,no,1048,no,2,no
1670,31,services,secondary,no,0,no,2,no
1671,35,blue-collar,primary,no,624,no,1,no
1672,47,services,secondary,no,1784,no,2,yes
1673,36,admin.,secondary,no,1281,no,2,no
1674,32,technician,tertiary,no,569,yes,1,no
1675,34,blue-collar,primary,no,1666,no,1,no
1676,40,admin.,secondary,no,168,no,2,no
1677,33,self-employed,tertiary,no,263,no,2,no
1678,39,blue-collar,secondary,no,-405,no,1,no
1679,38,self-employed,secondary,no,279,no,5,no
